feature,unique_values,development_corr,missing_development,abs_development_corr
econ_cpi_index_lag1m,144,-0.4507033724760231,0,0.4507033724760231
econ_unemployment_rate_lag1m,42,0.4376161179961054,0,0.4376161179961054
econ_gdp_index_lag1m,134,-0.41856703339999835,0,0.41856703339999835
apparent_temperature,2746,-0.3165593797173891,0,0.3165593797173891
cal_is_non_working_day,2,-0.22749752424635147,0,0.22749752424635147
econ_industrial_production_index_lag1m,114,-0.2235343744063387,0,0.2235343744063387
weekend,2,-0.21034622500034705,0,0.21034622500034705
cloud_cover,913,0.09904938608980644,0,0.09904938608980644
wind_speed_10m,2802,0.08642985030281433,0,0.08642985030281433
is_holiday,2,-0.06460656247051531,0,0.06460656247051531
shortwave_radiation,6498,0.03780222871358664,0,0.03780222871358664
relative_humidity_2m,433,-0.03392722177274041,0,0.03392722177274041
cal_is_covid_lockdown,2,-0.033693622876722694,0,0.033693622876722694
cal_event_count,2,-0.03290030594341865,0,0.03290030594341865
surface_pressure,5407,-0.0316872452975593,0,0.0316872452975593
precipitation,93,0.004328918188177988,0,0.004328918188177988
cal_is_general_election,2,0.002091803036322441,0,0.002091803036322441
wind_direction_10m,2684,0.0017160153850002678,0,0.0017160153850002678
