model,fold,regressor_count,prophet_uk_holidays,mae,rmse,mape,r2
seasonality_only,aug_2025,0,False,2924.4108,3467.5632,14.0509,-0.1998
seasonality_only,nov_2025,0,False,2053.7748,2561.9484,6.8368,0.8181
seasonality_only,feb_2026,0,False,1811.1339,2371.0201,6.0253,0.8242
seasonality_only,may_2026,0,False,3597.4138,4351.3401,16.7101,-0.7395
prophet_uk_holidays,aug_2025,0,True,2896.3944,3430.0233,13.958,-0.174
prophet_uk_holidays,nov_2025,0,True,2023.4206,2532.2659,6.7282,0.8223
prophet_uk_holidays,feb_2026,0,True,1811.3903,2370.0002,6.0186,0.8243
prophet_uk_holidays,may_2026,0,True,3582.9533,4321.4742,16.6324,-0.7157
weather_only,aug_2025,8,False,2114.5944,2528.4169,10.0726,0.3621
weather_only,nov_2025,8,False,1625.098,2027.1042,5.499,0.8861
weather_only,feb_2026,8,False,1397.0909,1917.1949,4.6828,0.8851
weather_only,may_2026,8,False,2622.4573,3212.7424,11.9235,0.0517
weather + prophet_uk_holidays,aug_2025,8,True,2133.433,2555.2873,10.1334,0.3485
weather + prophet_uk_holidays,nov_2025,8,True,1588.4862,1980.2661,5.387,0.8913
weather + prophet_uk_holidays,feb_2026,8,True,1393.9411,1910.3903,4.6766,0.8859
weather + prophet_uk_holidays,may_2026,8,True,2619.0344,3198.5394,11.8847,0.0601
weather + lag24,aug_2025,9,False,1140.2934,1559.4417,5.4338,0.7573
weather + lag24,nov_2025,9,False,1253.4311,1600.0805,4.3159,0.929
weather + lag24,feb_2026,9,False,1337.0989,1839.7537,4.3833,0.8942
weather + lag24,may_2026,9,False,1267.0576,1686.0825,5.8169,0.7388
weather + lag168,aug_2025,9,False,1424.2118,1917.2867,6.5618,0.6332
weather + lag168,nov_2025,9,False,1558.5327,2024.6498,5.1939,0.8864
weather + lag168,feb_2026,9,False,1415.2504,2059.9486,4.6901,0.8673
weather + lag168,may_2026,9,False,1375.2066,1829.717,6.2814,0.6924
weather + lag24 + lag168,aug_2025,10,False,1056.5225,1489.4567,4.9603,0.7786
weather + lag24 + lag168,nov_2025,10,False,1198.4233,1542.5015,4.058,0.9341
weather + lag24 + lag168,feb_2026,10,False,1292.1495,1768.1119,4.2424,0.9022
weather + lag24 + lag168,may_2026,10,False,1107.8979,1500.0503,5.1038,0.7933
weather + lags + is_holiday,aug_2025,11,False,1069.2031,1406.5303,4.9942,0.8026
weather + lags + is_holiday,nov_2025,11,False,1199.0728,1539.8646,4.0664,0.9343
weather + lags + is_holiday,feb_2026,11,False,1294.628,1770.7562,4.2502,0.9019
weather + lags + is_holiday,may_2026,11,False,1052.2447,1395.7143,4.828,0.821
weather + lags + prophet_uk_holidays,aug_2025,10,True,1067.615,1506.1566,5.0093,0.7736
weather + lags + prophet_uk_holidays,nov_2025,10,True,1191.648,1530.4592,4.037,0.9351
weather + lags + prophet_uk_holidays,feb_2026,10,True,1286.703,1760.8593,4.2256,0.903
weather + lags + prophet_uk_holidays,may_2026,10,True,1051.6368,1405.3253,4.8139,0.8186
weather + weekend,aug_2025,9,False,2108.6347,2521.8161,10.0544,0.3654
weather + weekend,nov_2025,9,False,1626.2089,2029.7463,5.5031,0.8858
weather + weekend,feb_2026,9,False,1392.8991,1910.6039,4.6688,0.8858
weather + weekend,may_2026,9,False,2624.4766,3216.0209,11.9334,0.0498
weather + is_holiday,aug_2025,9,False,2126.141,2546.6041,10.1016,0.3529
